Curvature[405]  -0.0209582 -0.0571524 -0.175713
Curvature[406]  0.630234 0.611754 3.63273
Curvature[407]  0.052128 -0.524239 -1.12566
Curvature[408]  -0.171041 0.291914 0.775051
Curvature[409]  -0.369053 1.33614 5.54559
Curvature[410]  -0.0761439 -1.01397 -4.08386
Curvature[411]  -0.353998 0.315088 1.99077
Curvature[412]  2.24391 1.68982 -1.02201
Curvature[413]  -0.273011 -1.47316 -1.65831
Curvature[414]  -0.24679 1.48339 2.21862
Curvature[415]  0.422098 1.17378 2.78334
Curvature[416]  0.213536 1.59496 -0.038402
Curvature[417]  0.180875 1.268 2.20468
Curvature[418]  -0.814275 4.82949 2.36874
Curvature[419]  -0.116018 0.839312 -0.0300907
Curvature[420]  0.177949 -1.00518 -0.0680359
Curvature[421]  -0.106135 0.360139 0.68845
Curvature[422]  -0.287224 -0.311496 -2.86681
Curvature[423]  -0.138474 0.341589 0.617291
Curvature[424]  -0.308359 0.936431 2.55911
Curvature[425]  -0.121577 0.787196 0.269886
Curvature[426]  0.818427 -3.31155 -5.00008
Curvature[427]  -0.608017 -0.508947 0.958142
Curvature[428]  -0.459274 -1.42912 4.58689
Curvature[429]  -0.0363464 0.199171 -1.8454
Curvature[430]  -0.650131 0.431298 -0.902507
Curvature[431]  1.91287 1.3829 0.888213
Curvature[432]  -0.62329 1.68128 0.952244
Curvature[433]  -0.387176 0.192748 0.591399
Curvature[434]  -0.341514 0.272307 0.796964
Curvature[435]  -0.0971286 0.445823 1.27349
Curvature[436]  0.718497 -3.36843 -7.49941
Curvature[437]  -0.0339588 0.20417 0.463558
Curvature[438]  0.237211 -2.26043 -3.29836
Curvature[439]  0.279723 -0.796471 -1.11061
Curvature[440]  -0.0166622 0.024128 -0.053598
Curvature[441]  0.0191992 0.178957 0.652648
Curvature[442]  -0.311726 -1.49817 -3.7077
Curvature[443]  0.695912 1.90827 2.53304
Curvature[444]  -0.101415 0.405225 -0.0751365
Curvature[445]  0.567759 -0.401576 -2.09721
Curvature[446]  -0.315434 0.534737 1.29712
Curvature[447]  -0.112686 0.726303 1.48689
Curvature[448]  0.0845291 0.477405 1.14763
Curvature[449]  0.710754 1.49114 4.20617
Curvature[450]  0.285517 -0.915615 -3.81863
Curvature[451]  0.161518 -0.407411 -3.83737
Curvature[452]  -1.25107 -0.0256873 7.90688
Curvature[453]  -0.0951869 0.608633 0.555441
Curvature[454]  1.36889 1.26084 1.00463
Curvature[455]  -0.498685 1.34012 3.05644
Curvature[456]  -1.09598 -2.3591 -5.26153
Curvature[457]  -0.177258 0.396758 0.69352
Curvature[458]  -0.00622582 0.0880957 0.366304
Curvature[459]  -0.138931 0.254119 0.854929
Curvature[460]  0.0645976 0.301772 3.11486
Curvature[461]  0.313693 0.180567 0.51981
Curvature[462]  -0.091543 2.54785 2.83638
Curvature[463]  0.0812539 0.116197 0.272257
Curvature[464]  0.500715 0.642539 0.0794783
Curvature[465]  0.173726 -0.659288 -1.13777
Curvature[466]  -0.241324 0.541597 0.989958
Curvature[467]  -0.205346 0.177792 1.03765
Curvature[468]  0.134505 0.114033 0.572159
Curvature[469]  0.0722237 -2.64199 -4.19658
Curvature[470]  -0.602047 2.36876 2.19989
Curvature[471]  -1.25399 -1.08994 -4.07791
Curvature[472]  0.527081 1.46155 0.237938
Curvature[473]  -1.80727 4.08471 -13.6545
Curvature[474]  0.337398 -0.517607 -1.53342
Curvature[475]  -0.171121 -0.0761173 -3.17995
Curvature[476]  -0.00236569 0.247718 0.292834
Curvature[477]  -0.114974 0.578611 2.02536
Curvature[478]  0.251436 0.354049 1.6466
Curvature[479]  -0.998905 -1.52809 -4.80567
Curvature[480]  -0.228154 -0.291513 -0.404676
Curvature[481]  0.185143 0.271375 -1.22128
Curvature[482]  -0.0957477 1.91325 3.22585
Curvature[483]  0.02841 1.01708 1.47053
Curvature[484]  0.431191 1.09199 1.88081
Curvature[485]  -0.102678 0.274792 0.462628
Curvature[486]  0.0620001 -0.107288 0.0195998
Curvature[487]  -0.353967 0.853636 2.00913
Curvature[488]  1.1523 -1.18755 2.52497
Curvature[489]  -0.909013 -0.0220162 -0.838118
Curvature[490]  -0.181107 -0.543126 -0.57498
Curvature[491]  1.68142 1.06906 3.96455
Curvature[492]  -0.000452856 -0.543306 -0.913222
Curvature[493]  0.0278863 0.18991 0.254321
Curvature[494]  0.497491 -1.09753 -1.20987
Curvature[495]  -0.622167 1.28824 1.72553
Curvature[496]  -0.0823068 0.476921 1.0328
Curvature[497]  0.45149 0.748444 2.18278
Curvature[498]  2.26242 0.564925 0.322541
Curvature[499]  -1.88597 0.129214 -6.69758
Curvature[500]  0.18842 0.0347419 2.25892
Curvature[501]  -2.09432 -0.513792 -3.06265
Curvature[502]  -0.269782 0.167452 -1.1223
Curvature[503]  -0.0701882 -0.0727 -0.14241
Curvature[504]  -0.286481 -0.162848 -0.870259
Curvature[505]  3.22024 -3.62242 5.53694
Curvature[506]  -1.39986 0.487869 -2.03981
Curvature[507]  -0.125167 0.0373028 -0.331178
Curvature[508]  0.83224 0.929402 0.916578
Curvature[509]  1.01636 -2.78157 8.02343
Curvature[510]  -0.202129 0.0203324 -0.672231
Curvature[511]  0.214221 -0.10531 0.857706
Curvature[512]  1.87531 -0.630362 3.64574
Curvature[513]  0.927179 0.811219 1.19005
Curvature[514]  2.1145 -5.85265 10.173
Curvature[515]  2.01133 -2.82654 6.54444
Curvature[516]  -0.0812172 -2.22614 0.0433399
Curvature[517]  0.123453 0.00516398 0.352904
Curvature[518]  1.43838 -3.33239 -0.391365
Curvature[519]  -0.211335 -0.616466 2.03961
Curvature[520]  2.1504 0.00121343 1.71744
Curvature[521]  -0.545208 -0.270898 5.26037
Curvature[522]  0.595448 0.223214 2.97866
Curvature[523]  0.760252 0.45837 0.418067
Curvature[524]  -0.786685 0.14721 5.47965
Curvature[525]  0.533228 0.315036 3.2074
Curvature[526]  0.332155 -0.0266455 1.01221
Curvature[527]  -0.597681 -0.834762 -1.1821
Curvature[528]  1.21062 0.735643 2.37163
Curvature[529]  0.867473 0.10655 3.72191
Curvature[530]  3.45958 -1.95779 3.19818
Curvature[531]  -0.801747 0.208179 -2.88398
Curvature[532]  0.998732 1.19204 2.39218
Curvature[533]  -0.13373 0.176695 -1.40121
Curvature[534]  0.635987 0.329985 1.95874
Curvature[535]  2.2988 -0.201331 3.09229
Curvature[536]  2.36145 0.0193309 2.32445
Curvature[537]  3.01338 -0.115773 4.02019
Curvature[538]  -0.476291 0.409229 -0.438783
Curvature[539]  -2.94412 -4.61409 -6.39848
Curvature[540]  -1.01123 2.05083 -6.23225
Curvature[541]  -1.741 0.237068 -5.09503
Curvature[542]  -1.12676 0.585712 -2.7316
Curvature[543]  -0.357806 -0.833984 -1.86478
Curvature[544]  1.18144 0.860413 -0.194054
Curvature[545]  3.07081 0.964905 2.87485
Curvature[546]  0.980616 1.66293 2.9
Curvature[547]  0.87956 0.366 2.1033
Curvature[548]  0.756983 -0.355219 0.844864
Curvature[549]  1.57105 -0.857248 1.20896
Curvature[550]  -0.835199 -0.658891 -0.881702
Curvature[551]  -0.0711759 -0.0410866 -0.104611
Curvature[552]  -1.91855 0.543422 -3.76775
Curvature[553]  1.37865 -1.83249 3.24882
Curvature[554]  1.2957 -1.34961 1.44326
Curvature[555]  2.4589 -2.66382 1.37259
Curvature[556]  0.598883 5.01337 5.41732
Curvature[557]  -0.219753 0.085954 -0.173012
Curvature[558]  1.10419 -0.990043 1.37177
Curvature[559]  -0.364436 0.317289 -0.460395
Curvature[560]  -1.53116 1.45268 -2.36913
Curvature[561]  0.199462 0.0621038 0.159436
Curvature[562]  0.287494 0.203355 0.483253
Curvature[563]  2.40814 3.65396 8.57306
Curvature[564]  -3.45589 -1.86929 -4.95945
Curvature[565]  9.71864 4.05073 10.8526
Curvature[566]  3.72138 -0.185583 3.8718
Curvature[567]  1.31483 -0.621989 1.68285
Curvature[568]  -0.956299 0.64685 -1.64754
Curvature[569]  1.28143 -0.823148 1.96014
Curvature[570]  0.799908 -0.790555 0.671614
