Lu[186]  -0.000287939 -0.00133309 -0.000751617
Lu[187]  -0.000430738 -0.00123506 -0.000784016
Lu[188]  -0.00114567 -6.00375e-005 -0.000693662
Lu[189]  -0.00132962 -0.000228427 -0.000813111
Lu[190]  0.000360636 0.000115126 0.000660321
Lu[191]  0.000128765 -0.000602667 0.000829785
Lu[192]  -3.24142e-006 0.000217718 -4.66002e-005
Lu[193]  7.63741e-005 0.00026211 3.58355e-005
Lu[194]  0.000164685 0.000270253 3.44365e-005
Lu[195]  0.000175345 0.000322602 -0.000939932
Lu[196]  -0.00074637 -0.00154238 -0.000823883
Lu[197]  0.00133551 0.000140979 7.63685e-005
Lu[198]  -0.00124876 -0.000240376 -0.000511455
Lu[199]  -0.0014263 -0.000396888 -0.00067939
Lu[200]  -0.000208959 0.00019188 -0.000572029
Lu[201]  -8.80098e-005 -0.00165943 -0.000507029
Lu[202]  0.000353943 0.000356089 -0.00195207
Lu[203]  0.000360638 -0.000767849 -0.00185664
Lu[204]  -0.00127151 -0.000233591 -0.000720762
Lu[205]  0.000488662 -0.000170268 -0.000193812
Lu[206]  -0.00111938 -0.00164583 -0.000653566
Lu[207]  -2.04521e-005 -0.00163479 2.08304e-005
Lu[208]  0.000256316 -0.000177323 0.000790722
Lu[209]  -6.6894e-005 0.000209195 -0.000147502
Lu[210]  0.000213707 0.000147126 -6.31069e-005
Lu[211]  0.000278733 -0.000558465 -0.000679589
Lu[212]  0.000336761 0.000159676 -0.000956729
Lu[213]  0.000247976 0.000201623 -0.000983403
Lu[214]  0.000136505 0.000205875 -0.00099822
Lu[215]  0.00060135 -0.00060931 0.00087898
Lu[216]  0.000180526 -0.000825679 -0.000540742
Lu[217]  0.00100204 0.000163609 -0.000360098
Lu[218]  0.000652784 -0.000760618 -0.000349946
Lu[219]  0.00131787 -0.00015699 -1.93046e-005
Lu[220]  7.34223e-005 -0.000675022 -2.64022e-005
Lu[221]  -0.000206903 0.000277444 -0.000919927
Lu[222]  8.37571e-005 0.000109483 -7.09454e-005
Lu[223]  0.000282799 0.000110518 -0.0010144
Lu[224]  1.22048e-005 0.000111589 -0.00101783
Lu[225]  -0.000168557 0.00018111 -0.000972709
Lu[226]  0.00055814 -0.000937029 -0.00173184
Lu[227]  -0.00152338 -0.000277312 0.000424775
Lu[228]  -0.00156442 -0.00095876 0.000341294
Lu[229]  -0.000133924 0.000315984 -0.00101209
Lu[230]  -0.000186269 0.000114267 -0.000474388
Lu[231]  0.000498421 -0.000951631 -0.00112806
Lu[232]  0.000304038 2.03135e-005 -0.00101815
Lu[233]  0.000182455 6.54408e-005 -0.00103695
Lu[234]  -0.000540231 -0.000481738 -0.000901853
Lu[235]  0.0010531 0.000181562 0.00120835
Lu[236]  0.000306203 -0.000366212 -0.00201799
Lu[237]  0.000140886 -0.00101061 -0.00020334
Lu[238]  -0.000170441 -0.00132949 -1.15996e-005
Lu[239]  0.00061484 -0.000939968 -9.7763e-006
Lu[240]  -5.11299e-005 0.000123592 -0.000172034
Lu[241]  0.000479247 2.57088e-005 -0.000754962
Lu[242]  0.000348442 -0.000112017 -0.00102059
Lu[243]  4.29034e-005 -3.95401e-005 -0.00105476
Lu[244]  -0.000166567 -5.59756e-005 -0.00102107
Lu[245]  -0.000331526 6.8132e-005 -0.000964756
