Interior vertex normals: 
0.180976 0.781886 0.596575
0.0219284 0.0768213 0.996804
-0.141702 -0.0180443 0.989745
-0.404 -0.261753 0.87651
0.0219284 0.0768213 0.996804
0.0685894 0.293474 0.953503
-0.141702 -0.0180443 0.989745
0.0208767 0.516162 0.856236
-0.182401 0.598478 0.780099
-0.289957 0.447219 0.84612
0.913519 0.245236 -0.324564
0.830238 0.292178 -0.474697
0.856505 0.314916 -0.408934
-0.909529 -0.384463 -0.157942
-0.926616 -0.366386 -0.0845206
-0.930876 -0.362183 0.0478894
-0.224749 0.962605 -0.151258
-0.243688 0.969773 -0.0124799
-0.211874 0.966324 -0.14604
0.859304 0.480798 0.174444
0.65295 0.710308 0.262905
0.696066 0.684925 0.215335
-0.997821 -0.0366284 0.0548774
-0.999446 -0.00372093 -0.0330629
-0.985339 0.0249648 -0.168773
-0.980901 0.170825 -0.0930215
-0.971164 0.154008 -0.181997
-0.993149 -0.0554803 -0.102843
0.642076 0.672206 0.368616
0.849576 0.466331 0.246486
0.826565 0.472039 0.306545
0.140294 0.989603 -0.0316655
-0.0548736 0.99841 -0.0129173
0.0471952 0.994202 0.0966221
0.0685894 0.293474 0.953503
0.0208767 0.516162 0.856236
-0.289957 0.447219 0.84612
0.0793243 0.638188 0.765783
-0.246043 0.683924 0.686812
-0.182401 0.598478 0.780099
0.0208767 0.516162 0.856236
0.0793243 0.638188 0.765783
-0.182401 0.598478 0.780099
-0.634278 0.550985 0.542316
-0.924009 0.305057 0.230536
-0.840544 0.0562591 0.538815
-0.264638 0.866189 0.42389
-0.322069 0.892852 0.314782
-0.319659 0.820303 0.474258
0.278406 0.870437 0.405992
0.178885 0.874976 0.449909
0.512559 0.71893 0.469492
0.433832 0.883787 0.175243
0.233479 0.948395 0.214554
0.684198 0.608181 0.402478
0.165421 0.974691 -0.150379
0.00956074 0.992568 -0.121316
0.140294 0.989603 -0.0316655
-0.0173795 0.833142 0.552786
-0.122921 0.917818 0.377492
-0.156442 0.832305 0.531784
-0.41937 -0.33949 0.841948
-0.215201 -0.109945 0.970361
-0.404 -0.261753 0.87651
0.0219284 0.0768213 0.996804
0.363554 0.274019 0.890361
0.0685894 0.293474 0.953503
0.0685894 0.293474 0.953503
0.276574 0.38536 0.880343
0.0208767 0.516162 0.856236
0.0303249 0.253851 -0.966768
0.0603347 0.458416 -0.886687
0.14942 0.241756 -0.958764
0.525971 -0.799071 0.291274
0.489469 -0.871904 -0.0142599
0.562547 -0.716145 0.413131
-0.866647 -0.456713 -0.200839
-0.926616 -0.366386 -0.0845206
-0.909529 -0.384463 -0.157942
-0.929841 0.367856 -0.00877675
-0.923486 0.377436 -0.0686767
-0.971164 0.154008 -0.181997
-0.93229 0.296678 -0.206923
-0.885679 0.204309 -0.41693
-0.930663 0.086017 -0.355623
-0.912962 0.298816 -0.277865
-0.870593 0.129258 -0.474722
-0.865807 0.361942 -0.345508
0.125234 0.0198896 -0.991928
0.0480762 -0.311208 -0.949125
0.0572938 -0.156482 -0.986018
-0.526237 0.284267 -0.801416
-0.230908 -0.0122405 -0.972899
-0.172521 0.181535 -0.968133
-0.41937 -0.33949 0.841948
-0.0931418 -0.282382 0.95477
-0.215201 -0.109945 0.970361
0.0685894 0.293474 0.953503
0.363554 0.274019 0.890361
0.276574 0.38536 0.880343
-0.125413 0.804309 0.580826
-0.246043 0.683924 0.686812
