Lc[351]  0.0677123 0.15354 -0.986417
Lc[352]  2.23258 -1.71864 -4.5508
Lc[353]  0.452572 -2.45524 -5.597
Lc[354]  -1.70661 -0.990105 -0.0854058
Lc[355]  -3.31683 -3.68752 -1.47873
Lc[356]  -1.69914 -3.32845 -1.77191
Lc[357]  1.9331 -0.823821 -9.28093
Lc[358]  -1.65671 -1.71565 -0.240636
Lc[359]  1.98536 -3.45804 -7.00577
Lc[360]  -0.149572 -2.14114 -4.52182
Lc[361]  -0.204543 -0.336021 -0.794892
Lc[362]  -1.40552 0.600018 4.4297
Lc[363]  -1.2436 -1.35154 -7.86671
Lc[364]  0.0399405 -0.06908 -0.476538
Lc[365]  -0.478479 -0.148099 -2.06043
Lc[366]  1.72633 0.372695 5.34294
Lc[367]  -0.305151 0.177212 -0.624218
Lc[368]  0.515451 -0.00237706 -2.26615
Lc[369]  1.4271 0.0183899 -8.44169
Lc[370]  -0.956343 -2.27177 -5.54196
Lc[371]  -0.308666 -0.589927 -0.715859
Lc[372]  -0.652922 -0.520578 -2.15281
Lc[373]  -30.786 6.72543 0.6744
Lc[374]  0.170027 -1.91701 -0.195765
Lc[375]  2.35159 1.26445 0.0101713
Lc[376]  2.14686 -1.44572 -8.00215
Lc[377]  0.250499 -0.878588 -2.80318
Lc[378]  0.174679 -0.00634941 -3.35812
Lc[379]  -3.13542 2.20045 5.90298
Lc[380]  1.22055 -3.33248 -3.46076
Lc[381]  0.459013 -3.57372 -4.31197
Lc[382]  -0.456337 -3.52333 -4.10828
Lc[383]  -1.79017 -4.1527 -5.58391
Lc[384]  0.210723 -2.4416 -2.00465
Lc[385]  1.4437 -4.30869 -5.67428
Lc[386]  -0.703471 -2.61631 -0.104272
Lc[387]  0.272893 0.559286 2.52382
Lc[388]  0.388065 -0.297598 -1.50214
Lc[389]  -6.43479 6.27032 15.0761
Lc[390]  -0.700161 -2.70524 -1.85447
Lc[391]  0.23323 -3.86848 -3.0592
Lc[392]  1.28813 0.857636 4.29405
Lc[393]  0.754141 -0.937161 -2.44449
Lc[394]  -0.0636005 -0.864926 -2.91066
Lc[395]  -1.22181 -2.10923 -9.90108
Lc[396]  -1.93118 -3.01446 -0.934651
Lc[397]  5.96492 0.738674 -0.883007
Lc[398]  0.384631 1.22093 2.0805
Lc[399]  -1.07145 -1.15798 -4.20758
Lc[400]  -0.372131 -2.46119 -3.39421
Lc[401]  0.289166 -1.31589 0.198873
Lc[402]  0.180803 -0.505903 -0.216839
Lc[403]  -1.76077 -5.13415 -2.45698
Lc[404]  0.0443242 -0.145333 -0.32066
Lc[405]  0.0246364 0.00744273 0.0613751
Lc[406]  -1.19181 -1.256 -7.14761
Lc[407]  -0.114353 0.892423 1.88051
Lc[408]  0.317805 -0.565773 -1.4939
Lc[409]  0.781378 -2.48637 -10.0246
Lc[410]  -0.0546672 1.65473 6.36319
Lc[411]  0.578178 -0.61701 -3.25558
Lc[412]  -4.37255 -3.31666 1.99614
Lc[413]  0.447037 2.54878 2.85422
Lc[414]  0.388907 -2.7387 -4.07119
Lc[415]  -0.783313 -2.17782 -4.97892
Lc[416]  -0.419948 -3.14384 0.0788936
Lc[417]  -0.350266 -2.45689 -4.29541
Lc[418]  1.54859 -9.47341 -4.63643
Lc[419]  0.244918 -1.77406 0.0631611
Lc[420]  -0.34718 1.98424 0.176185
Lc[421]  0.179779 -0.652905 -1.23495
Lc[422]  0.526527 0.635503 5.35423
Lc[423]  0.290505 -0.735708 -1.33122
Lc[424]  0.598044 -1.78831 -4.82611
Lc[425]  0.191915 -1.29817 -0.312843
Lc[426]  -1.62737 6.16278 9.43634
Lc[427]  1.2101 1.0202 -1.91422
Lc[428]  0.919526 2.83771 -9.1074
Lc[429]  0.0642712 -0.365429 3.59692
Lc[430]  1.26099 -0.830392 1.75023
Lc[431]  -3.79473 -2.78262 -1.75613
Lc[432]  1.28839 -3.45632 -1.95005
Lc[433]  0.773008 -0.365768 -1.16544
Lc[434]  0.663913 -0.519356 -1.56866
Lc[435]  0.195817 -0.862064 -2.45674
Lc[436]  -1.22382 5.99805 13.4523
Lc[437]  0.0739317 -0.340582 -0.781716
Lc[438]  -0.41785 4.363 6.16825
Lc[439]  -0.497572 1.59796 2.13519
Lc[440]  0.0259241 -0.0289427 0.0856683
Lc[441]  -0.0150205 -0.310224 -1.08539
Lc[442]  0.497371 2.88276 6.83337
Lc[443]  -1.37809 -3.73737 -4.98384
Lc[444]  0.235641 -0.969284 0.176101
Lc[445]  -1.06681 0.701609 3.94724
Lc[446]  0.587564 -0.998401 -2.45685
Lc[447]  0.218158 -1.39452 -2.88302
Lc[448]  -0.132091 -0.905009 -2.15887
Lc[449]  -1.2841 -2.80012 -7.81668
Lc[450]  -0.509779 1.74862 6.70886
Lc[451]  -0.29778 0.956706 7.49245
Lc[452]  2.47527 -0.152236 -16.7399
Lc[453]  0.120677 -0.798072 -0.768363
Lc[454]  -2.67381 -2.45773 -1.94602
Lc[455]  0.865912 -2.63068 -5.96578
Lc[456]  1.93526 4.50398 9.85085
Lc[457]  0.357891 -0.801495 -1.43658
Lc[458]  0.0189981 -0.157946 -0.648251
Lc[459]  0.2687 -0.509012 -1.64723
Lc[460]  -0.136514 -0.681321 -5.78658
Lc[461]  -0.425651 -0.26019 -0.524744
Lc[462]  0.136592 -4.88349 -5.5602
Lc[463]  -0.144397 -0.247151 -0.534725
Lc[464]  -1.0452 -1.34244 -0.184454
Lc[465]  -0.325898 1.2792 2.22809
Lc[466]  0.45459 -1.03118 -1.8895
Lc[467]  0.321091 -0.290636 -1.41303
Lc[468]  -0.219905 -0.211374 -0.979544
Lc[469]  -0.0699548 4.81569 7.88658
Lc[470]  1.20825 -4.93046 -4.60644
Lc[471]  2.37986 2.16854 7.68997
Lc[472]  -1.03847 -2.8874 -0.472381
Lc[473]  3.44371 -8.08587 25.8981
Lc[474]  -0.685604 1.05907 3.24357
Lc[475]  0.314356 0.169528 6.36745
Lc[476]  0.0137854 -0.452971 -0.569187
Lc[477]  0.224823 -1.13759 -3.93735
Lc[478]  -0.500769 -0.748906 -3.40711
Lc[479]  1.98363 3.08965 9.58766
Lc[480]  0.356719 0.437353 0.640921
Lc[481]  -0.342883 -0.523058 2.27054
Lc[482]  0.127792 -3.45631 -5.91658
Lc[483]  -0.0738353 -1.96878 -2.88011
Lc[484]  -0.726434 -1.9231 -3.23707
Lc[485]  0.171162 -0.45392 -0.785443
Lc[486]  -0.112673 0.267934 0.0256938
Lc[487]  0.686546 -1.67025 -3.97775
Lc[488]  -2.17308 2.30096 -4.78521
Lc[489]  1.89436 0.0371178 1.74429
Lc[490]  0.288627 0.987787 1.04809
Lc[491]  -3.31934 -2.18292 -7.89127
Lc[492]  0.0149225 1.02755 1.75333
Lc[493]  -0.062591 -0.457613 -0.613152
Lc[494]  -0.788944 1.78001 1.95521
Lc[495]  1.19878 -2.47047 -3.30223
Lc[496]  0.163192 -0.968632 -2.11673
Lc[497]  -0.84125 -1.46193 -4.18272
Lc[498]  -4.67182 -1.17215 -0.652464
Lc[499]  3.6268 -0.295104 12.7376
Lc[500]  -0.309307 -0.0295274 -3.47888
Lc[501]  3.95275 0.978484 5.81884
Lc[502]  0.554949 -0.336058 2.3409
Lc[503]  0.188848 0.209408 0.409394
Lc[504]  0.571561 0.311427 1.7192
Lc[505]  -6.16049 7.07009 -10.6161
Lc[506]  2.68673 -0.897219 3.95696
Lc[507]  0.266383 -0.0824058 0.692164
Lc[508]  -1.7715 -1.98552 -1.95207
Lc[509]  -2.0987 5.49224 -15.8258
Lc[510]  0.266041 -0.0295143 0.913148
Lc[511]  -0.49184 0.252735 -1.96526
Lc[512]  -3.93914 1.36326 -7.67746
Lc[513]  -2.10801 -1.5649 -2.73284
Lc[514]  -4.15865 11.1673 -19.6974
Lc[515]  -3.54879 4.879 -12.0129
Lc[516]  0.0889259 4.02869 -0.0669796
Lc[517]  -0.301497 -0.0272572 -0.938238
Lc[518]  -2.9411 6.73455 0.71633
Lc[519]  0.347487 1.07483 -3.43908
Lc[520]  -3.94612 -0.0532279 -3.10475
Lc[521]  1.10664 0.436751 -10.0529
Lc[522]  -1.21918 -0.472874 -6.39461
Lc[523]  -1.40094 -0.826727 -0.769116
Lc[524]  1.58146 -0.289311 -11.6639
Lc[525]  -1.04951 -0.643071 -6.31838
Lc[526]  -0.837992 0.0881679 -2.59223
Lc[527]  1.18833 1.63727 2.33021
Lc[528]  -2.34839 -1.41276 -4.56357
Lc[529]  -1.59929 -0.133861 -6.55923
Lc[530]  -6.73396 3.89308 -6.2149
Lc[531]  1.49297 -0.370015 5.21474
Lc[532]  -1.95381 -2.34893 -4.69318
Lc[533]  0.259204 -0.312836 2.50781
Lc[534]  -1.2394 -0.648721 -3.85081
Lc[535]  -4.42606 0.365019 -5.82897
Lc[536]  -4.50161 -0.0943755 -4.43075
Lc[537]  -5.76132 0.413959 -7.70602
Lc[538]  0.985986 -0.838426 0.908826
Lc[539]  5.34101 8.11797 11.5963
Lc[540]  1.97035 -3.99117 11.5348
Lc[541]  3.37751 -0.668678 9.66608
Lc[542]  2.01551 -1.10788 4.88903
Lc[543]  0.74253 1.68981 3.79048
Lc[544]  -1.88208 -1.35437 0.314223
Lc[545]  -6.19242 -1.9191 -5.77865
Lc[546]  -1.81445 -3.12176 -5.52305
Lc[547]  -1.62842 -0.576183 -3.84272
Lc[548]  -1.4099 0.619939 -1.59199
Lc[549]  -3.10098 1.69486 -2.42291
Lc[550]  1.20825 1.16069 1.40758
Lc[551]  0.06282 0.00629206 0.0683215
Lc[552]  3.68604 -1.13559 7.19955
Lc[553]  -2.6577 3.56628 -6.24019
Lc[554]  -2.62118 2.72683 -2.93172
Lc[555]  -5.18074 5.62231 -2.87818
Lc[556]  -1.10457 -9.99841 -10.9026
Lc[557]  0.460533 -0.167318 0.366791
Lc[558]  -2.28263 2.02611 -2.88889
Lc[559]  0.651726 -0.57847 0.847434
Lc[560]  2.84292 -2.69661 4.43081
Lc[561]  -0.269556 -0.0758314 -0.146633
Lc[562]  -0.489407 -0.34691 -0.796719
Lc[563]  -4.94497 -6.69065 -16.6938
Lc[564]  6.61792 3.40906 9.38486
Lc[565]  -19.6123 -8.74543 -21.9485
Lc[566]  -7.53766 0.264149 -7.87477
Lc[567]  -2.74252 1.27856 -3.44846
Lc[568]  1.78133 -1.20316 3.00852
Lc[569]  -2.63512 1.73121 -4.05775
Lc[570]  -1.6268 1.60372 -1.36534
Lc[571]  -4.39895 5.25648 -3.34295
Lc[572]  -15.1467 15.304 -6.78043
Lc[573]  -2.88148 -1.67186 -0.659382
Lc[574]  -2.91075 2.47386 -2.91603
Lc[575]  9.98237 1.02581 10.8796
Lc[576]  -1.86824 -0.666368 -0.556172
Lc[577]  -0.591292 0.627607 -1.14273
Lc[578]  -1.91339 2.46086 -2.7595
Lc[579]  1.96583 -2.00432 2.99136
Lc[580]  1.91978 -1.37925 2.42579
Lc[581]  -4.11464 2.27792 -2.75187
Lc[582]  -6.33548 9.46464 -3.65738
Lc[583]  -0.387265 -0.162342 -0.495042
